remark: ../source/haar.cpp:3344:11: Inlining function 'weakClassifier(int, ap_uint<18>*, int, int)' into 'cascadeClassifier(MyPoint, ap_uint<18> (*) [25], ap_uint<26> (*) [2])'
remark: ../source/haar.cpp:3335:7: Inlining function 'get_all_data(ap_uint<18>*, ap_uint<10>*, ap_uint<18>*)' into 'cascadeClassifier(MyPoint, ap_uint<18> (*) [25], ap_uint<26> (*) [2])'
remark: ../source/haar.cpp:3077:22: Inlining function 'cascadeClassifier(MyPoint, ap_uint<18> (*) [25], ap_uint<26> (*) [2])' into 'processImage(float, int, int, int*, int*, int*, int*, int*, unsigned char (*) [320], MySize)'
remark: ../source/haar.cpp:963:3: Loop 'COMPUTE_BANK_AND_OFFSET' is marked as complete unroll implied by the pipeline pragma
remark: ../source/haar.cpp:971:3: Loop 'ASSIGN_OFFSET_FOR_BANKS' is marked as complete unroll implied by the pipeline pragma
remark: ../source/haar.cpp:1021:3: Loop 'CHOOSE_DATA' is marked as complete unroll implied by the pipeline pragma
remark: ../source/haar.cpp:3337:26: Loop 'VITIS_LOOP_3337_1' is marked as complete unroll implied by the pipeline pragma
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIu' (../source/haar.cpp:3023:15) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIIj' (../source/haar.cpp:3025:10) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIj' (../source/haar.cpp:3038:14) in function 'processImage' completely with a factor of 49
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
